Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,164,27.94,39,33,7,17.95,5,12.82,79,16,20.25,9.76,19,11.59,21.34,12.33,31.43,12.73,0.273,0.368,0.515,0.883,0.242
CH,Changeup,OS,119,20.27,27,20,5,18.52,4,14.81,49,13,26.53,10.92,17,14.29,25.21,29.33,20.0,14.29,0.25,0.333,0.55,0.883,0.30000000000000004
FC,Cutter,FB,85,14.48,25,23,5,20.0,2,8.0,48,12,25.0,14.12,14,16.47,30.59,39.39,10.29,27.78,0.304,0.36,0.478,0.838,0.174
SI,Sinker,FB,77,13.12,20,15,2,10.0,5,25.0,34,5,14.71,6.49,13,16.88,23.38,6.06,10.86,10.53,0.267,0.45,0.267,0.7170000000000001,0.0
SL,Slider,BR,65,11.07,15,14,7,46.67,1,6.67,28,12,42.86,18.46,13,20.0,38.46,14.29,12.57,31.82,0.214,0.267,0.429,0.696,0.215
ST,Sweeper,BR,34,5.79,10,8,3,30.0,1,10.0,16,7,43.75,20.59,8,23.53,44.12,26.67,7.43,23.08,0.125,0.222,0.5,0.722,0.375
CU,Curveball,BR,32,5.45,9,7,0,0.0,2,22.22,12,2,16.67,6.25,3,9.38,15.62,10.53,5.14,0.0,0.286,0.444,0.714,1.158,0.428
SV,Slurve,BR,4,0.68,2,2,2,100.0,0,0.0,2,2,100.0,50.0,1,25.0,75.0,0.0,1.71,66.67,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,3,0.51,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.57,0.0,,,,,
,,,2,0.34,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
EP,Eephus,,1,0.17,1,0,0,0.0,0,0.0,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,1.0,,,
KC,Knuckle Curve,BR,1,0.17,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,,0.0,,,,,,
