Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,429,29.36,95,81,28,29.47,10,10.53,201,37,18.41,8.62,78,18.18,26.81,18.89,29.29,19.31,0.222,0.323,0.481,0.804,0.259
SL,Slider,BR,356,24.37,85,76,23,27.06,8,9.41,168,64,38.1,17.98,50,14.04,32.02,34.12,25.05,18.55,0.211,0.286,0.25,0.536,0.03900000000000001
SI,Sinker,FB,215,14.72,61,56,15,24.59,3,4.92,110,31,28.18,14.42,50,23.26,37.67,42.16,10.1,30.0,0.339,0.383,0.5,0.883,0.16099999999999998
ST,Sweeper,BR,167,11.43,43,37,15,34.88,6,13.95,81,35,43.21,20.96,13,7.78,28.74,31.37,14.95,20.27,0.189,0.302,0.378,0.6799999999999999,0.189
FC,Cutter,FB,113,7.73,21,19,5,23.81,2,9.52,55,18,32.73,15.93,18,15.93,31.86,20.0,6.26,16.13,0.158,0.238,0.263,0.501,0.10500000000000001
CU,Curveball,BR,74,5.07,21,20,8,38.1,0,0.0,46,21,45.65,28.38,5,6.76,35.14,42.5,5.66,28.57,0.15,0.143,0.25,0.393,0.1
CH,Changeup,OS,41,2.81,11,8,1,9.09,1,9.09,17,7,41.18,17.07,5,12.2,29.27,32.14,2.02,10.0,0.375,0.455,0.75,1.205,0.375
FS,Split-Finger,OS,31,2.12,11,10,4,36.36,1,9.09,18,9,50.0,29.03,0,0.0,29.03,27.78,3.84,21.05,0.1,0.182,0.4,0.5820000000000001,0.30000000000000004
KC,Knuckle Curve,BR,22,1.51,5,5,2,40.0,0,0.0,12,4,33.33,18.18,4,18.18,36.36,36.36,1.62,25.0,0.2,0.2,0.2,0.4,0.0
SV,Slurve,BR,7,0.48,3,3,2,66.67,0,0.0,5,3,60.0,42.86,0,0.0,42.86,60.0,0.81,50.0,0.0,0.0,0.0,0.0,0.0
KN,Knuckleball,,4,0.27,1,1,0,0.0,0,0.0,3,1,33.33,25.0,0,0.0,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
,,,2,0.14,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.2,0.0,,,,,
