year,date,gid
2025,2025-03-27,778557
2025,2025-03-27,778556
2025,2025-03-27,778553
2025,2025-03-27,778555
2025,2025-03-27,778558
2025,2025-03-27,778559
2025,2025-03-27,778561
2025,2025-03-27,778545
2025,2025-03-27,778554
2025,2025-03-27,778562
2025,2025-03-27,778551
2025,2025-03-27,778546
2025,2025-03-28,778552
2025,2025-03-28,778547
2025,2025-03-28,778560
2025,2025-03-28,778549
2025,2025-03-28,778548
2025,2025-03-29,778550
2025,2025-03-29,778518
2025,2025-03-29,778543
2025,2025-03-29,778541
2025,2025-03-29,778542
2025,2025-03-29,778544
2025,2025-03-29,778538
2025,2025-03-29,778534
2025,2025-03-29,778528
2025,2025-03-29,778536
2025,2025-03-29,778535
2025,2025-03-29,778529
2025,2025-03-29,778540
2025,2025-03-29,778537
2025,2025-03-29,778539
2025,2025-03-29,778531
2025,2025-03-29,778530
2025,2025-03-29,778520
2025,2025-03-30,778532
2025,2025-03-30,778533
2025,2025-03-30,778521
2025,2025-03-30,778526
2025,2025-03-30,778523
2025,2025-03-30,778525
2025,2025-03-30,778522
2025,2025-03-30,778524
2025,2025-03-30,778519
2025,2025-03-30,778510
2025,2025-03-30,778527
2025,2025-03-30,778517
2025,2025-03-30,778516
2025,2025-03-30,778515
2025,2025-03-30,778513
2025,2025-03-30,778514
2025,2025-03-31,778506
2025,2025-03-31,778504
2025,2025-03-31,778512
2025,2025-03-31,778502
2025,2025-03-31,778511
2025,2025-03-31,778509
2025,2025-03-31,778508
2025,2025-03-31,778507
2025,2025-03-31,778503
2025,2025-04-01,778505
2025,2025-04-01,778499
2025,2025-04-01,778496
2025,2025-04-01,778501
2025,2025-04-01,778500
2025,2025-04-01,778498
2025,2025-04-01,778497
2025,2025-04-01,778493
2025,2025-04-01,778492
2025,2025-04-01,778491
2025,2025-04-01,778490
2025,2025-04-01,778488
2025,2025-04-01,778495
2025,2025-04-02,778489
2025,2025-04-02,778485
2025,2025-04-02,778486
2025,2025-04-02,778494
2025,2025-04-02,778487
2025,2025-04-02,778480
2025,2025-04-02,778479
2025,2025-04-02,778477
2025,2025-04-02,778473
2025,2025-04-02,778474
2025,2025-04-02,778478
2025,2025-04-02,778471
2025,2025-04-02,778476
2025,2025-04-02,778469
2025,2025-04-02,778475
2025,2025-04-02,778481
2025,2025-04-02,778483
2025,2025-04-02,778482
2025,2025-04-02,778484
2025,2025-04-03,778472
2025,2025-04-03,778470
2025,2025-04-03,778467
2025,2025-04-03,778462
2025,2025-04-03,778466
2025,2025-04-03,778468
2025,2025-04-04,778458
2025,2025-04-04,778463
2025,2025-04-04,778460
2025,2025-04-04,778465
2025,2025-04-04,778456
2025,2025-04-04,778461
2025,2025-04-04,778444
2025,2025-04-04,778457
2025,2025-04-04,778459
2025,2025-04-04,778464
2025,2025-04-04,778455
2025,2025-04-05,778454
2025,2025-04-05,778453
2025,2025-04-05,778447
2025,2025-04-05,778445
2025,2025-04-05,778440
2025,2025-04-05,778450
2025,2025-04-05,778452
2025,2025-04-05,778448
2025,2025-04-05,778449
2025,2025-04-05,778441
2025,2025-04-05,778438
2025,2025-04-05,778446
2025,2025-04-05,778439
2025,2025-04-05,778451
2025,2025-04-06,778442
2025,2025-04-06,778436
2025,2025-04-06,778437
2025,2025-04-06,778443
2025,2025-04-06,778429
2025,2025-04-06,778432
2025,2025-04-06,778434
2025,2025-04-06,778428
2025,2025-04-06,778435
2025,2025-04-06,778433
2025,2025-04-06,778422
2025,2025-04-06,778419
2025,2025-04-06,778421
2025,2025-04-06,778430
2025,2025-04-06,778420
2025,2025-04-06,778423
2025,2025-04-06,778427
2025,2025-04-06,778425
2025,2025-08-09,778431
2025,2025-04-07,778424
2025,2025-04-07,778415
2025,2025-04-07,778418
2025,2025-04-07,778426
2025,2025-04-07,778416
2025,2025-04-07,778411
2025,2025-04-07,778412
2025,2025-04-08,778413
2025,2025-04-08,778405
2025,2025-04-08,778410
2025,2025-04-08,778414
2025,2025-04-08,778403
2025,2025-04-08,778402
2025,2025-04-08,778407
2025,2025-04-08,778408
2025,2025-04-08,778409
2025,2025-04-08,778404
2025,2025-04-08,778417
2025,2025-04-08,778406
2025,2025-04-08,778401
2025,2025-04-08,778400
2025,2025-04-09,778394
2025,2025-04-09,778396
2025,2025-04-09,778398
2025,2025-04-09,778397
2025,2025-04-09,778395
2025,2025-04-09,778389
2025,2025-04-09,778390
2025,2025-04-09,778387
2025,2025-04-09,778385
2025,2025-04-09,778381
2025,2025-04-09,778380
2025,2025-04-09,778376
2025,2025-04-09,778392
2025,2025-04-09,778383
2025,2025-04-09,778391
2025,2025-04-09,778386
2025,2025-04-09,778399
2025,2025-04-09,778393
2025,2025-04-09,778388
2025,2025-04-10,778379
2025,2025-04-10,778382
2025,2025-04-10,778378
2025,2025-04-10,778373
2025,2025-04-10,778371
2025,2025-04-10,778377
2025,2025-04-10,778384
2025,2025-04-11,778375
2025,2025-04-11,778374
2025,2025-04-11,778367
2025,2025-04-11,778370
2025,2025-04-11,778369
2025,2025-04-11,778366
2025,2025-04-12,778368
2025,2025-04-12,778363
2025,2025-04-12,778365
2025,2025-04-12,778361
2025,2025-04-12,778360
2025,2025-04-12,778364
2025,2025-04-12,778358
2025,2025-04-12,778356
2025,2025-07-29,778372
2025,2025-04-12,778348
2025,2025-04-12,778347
2025,2025-04-12,778355
2025,2025-04-12,778346
2025,2025-04-12,778362
2025,2025-04-12,778353
2025,2025-04-12,778349
2025,2025-04-12,778354
2025,2025-04-12,778359
2025,2025-04-12,778357
2025,2025-04-12,778351
2025,2025-04-13,778350
2025,2025-04-13,778352
2025,2025-04-13,778345
2025,2025-04-13,778341
2025,2025-04-13,778344
2025,2025-04-13,778339
2025,2025-04-13,778342
2025,2025-04-13,778343
2025,2025-04-13,778340
2025,2025-04-13,778337
2025,2025-04-13,778329
2025,2025-04-13,778335
2025,2025-04-13,778338
2025,2025-04-13,778336
2025,2025-04-13,778333
2025,2025-04-13,778330
2025,2025-04-13,778334
2025,2025-04-13,778332
2025,2025-04-13,778331
2025,2025-04-14,778321
2025,2025-04-14,778320
2025,2025-04-14,778328
2025,2025-04-14,778327
2025,2025-04-14,778322
2025,2025-04-14,778324
2025,2025-04-14,778323
2025,2025-04-14,778325
2025,2025-04-15,778315
2025,2025-04-15,778326
2025,2025-04-15,778314
2025,2025-04-15,778316
2025,2025-04-15,778318
2025,2025-04-15,778313
2025,2025-04-15,778317
2025,2025-04-15,778319
2025,2025-04-15,778312
2025,2025-04-15,778311
2025,2025-04-15,778307
2025,2025-04-15,778309
2025,2025-04-15,778310
2025,2025-04-15,778308
2025,2025-04-16,778306
2025,2025-04-16,778305
2025,2025-04-16,778302
2025,2025-04-16,778297
2025,2025-04-16,778299
2025,2025-04-16,778295
2025,2025-04-16,778290
2025,2025-04-16,778288
2025,2025-04-16,778301
2025,2025-04-16,778293
2025,2025-04-16,778304
2025,2025-04-16,778303
2025,2025-04-16,778296
2025,2025-04-16,778298
2025,2025-04-16,778300
2025,2025-04-16,778294
2025,2025-04-17,778289
2025,2025-04-17,778287
2025,2025-04-17,778291
2025,2025-04-17,778280
2025,2025-04-17,778285
2025,2025-04-17,778283
2025,2025-04-17,778279
2025,2025-04-17,778292
2025,2025-04-17,778286
2025,2025-04-17,778282
2025,2025-04-17,778278
2025,2025-04-18,778281
2025,2025-04-18,778268
2025,2025-04-18,778277
2025,2025-04-18,778271
2025,2025-04-18,778274
2025,2025-04-18,778276
2025,2025-04-18,778272
2025,2025-04-18,778273
2025,2025-04-18,778270
2025,2025-04-18,778275
2025,2025-04-18,778284
2025,2025-04-19,778263
2025,2025-04-19,778269
2025,2025-04-19,778261
2025,2025-04-19,778260
2025,2025-04-21,778266
2025,2025-04-19,778252
2025,2025-04-19,778265
2025,2025-04-19,778257
2025,2025-04-19,778258
2025,2025-04-19,778262
2025,2025-04-19,778254
2025,2025-04-19,778256
2025,2025-04-19,778251
2025,2025-04-19,778247
2025,2025-04-19,778264
2025,2025-04-19,778255
2025,2025-04-19,778259
2025,2025-04-19,778253
2025,2025-04-19,778267
2025,2025-04-20,778243
2025,2025-04-20,778250
2025,2025-04-20,778242
2025,2025-04-20,778249
2025,2025-04-20,778245
2025,2025-04-20,778248
2025,2025-04-20,778241
2025,2025-04-20,778246
2025,2025-04-20,778244
2025,2025-04-20,778240
2025,2025-04-20,778239
2025,2025-04-20,778236
2025,2025-04-20,778234
2025,2025-04-20,778235
2025,2025-04-20,778232
2025,2025-04-20,778237
2025,2025-04-21,778238
2025,2025-04-21,778227
2025,2025-04-21,778228
2025,2025-04-21,778230
2025,2025-04-21,778225
2025,2025-04-21,778233
2025,2025-04-22,778231
2025,2025-04-22,778226
2025,2025-04-22,778218
2025,2025-04-22,778221
2025,2025-04-22,778219
2025,2025-04-22,778222
2025,2025-04-22,778224
2025,2025-04-22,778223
2025,2025-04-22,778229
2025,2025-04-22,778215
2025,2025-04-22,778220
2025,2025-04-22,778216
2025,2025-04-23,778217
2025,2025-04-23,778211
2025,2025-04-23,778212
2025,2025-04-23,778210
2025,2025-04-23,778213
2025,2025-04-23,778214
2025,2025-04-23,778209
2025,2025-04-23,778203
2025,2025-04-23,778208
2025,2025-04-23,778206
2025,2025-04-23,778204
2025,2025-04-23,778207
2025,2025-04-23,778205
2025,2025-04-23,778200
2025,2025-04-23,778201
2025,2025-04-24,778202
2025,2025-04-24,778199
2025,2025-04-24,778198
2025,2025-04-24,778197
2025,2025-04-24,778195
2025,2025-04-24,778189
2025,2025-04-24,778196
2025,2025-04-24,778190
2025,2025-04-24,778194
2025,2025-04-24,778193
2025,2025-04-25,778191
2025,2025-04-25,778188
2025,2025-04-25,778192
2025,2025-04-25,778182
2025,2025-04-25,778183
2025,2025-04-25,778185
2025,2025-04-25,778187
2025,2025-04-25,778186
2025,2025-04-26,778184
2025,2025-04-26,778181
2025,2025-04-26,778172
2025,2025-04-26,778177
2025,2025-04-26,778175
2025,2025-04-26,778178
2025,2025-04-26,778176
2025,2025-04-26,778171
2025,2025-04-26,778180
2025,2025-04-26,778179
2025,2025-04-26,778169
2025,2025-04-26,778168
2025,2025-04-26,778166
2025,2025-04-26,778164
2025,2025-04-26,778161
2025,2025-04-26,778173
2025,2025-04-26,778159
2025,2025-04-26,778174
2025,2025-04-26,778165
2025,2025-04-26,778167
2025,2025-04-27,778162
2025,2025-04-27,778160
2025,2025-04-27,778163
